Jul  5 23:38:16 node7 kernel: imklog 5.8.6, log source = /proc/kmsg started.
Jul  5 23:38:16 node7 rsyslogd: [origin software="rsyslogd" swVersion="5.8.6" x-pid="962" x-info="http://www.rsyslog.com"] start
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's groupid changed to 103
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's userid changed to 101
Jul  5 23:38:16 node7 rsyslogd-2039: Could not open output pipe '/dev/xconsole' [try http://www.rsyslog.com/e/2039 ]
Jul  5 23:38:16 node7 kernel: [    0.432590] PCI-DMA: Using software bounce buffering for IO (SWIOTLB)
Jul  5 23:38:16 node7 kernel: [    0.432592] software IO TLB [mem 0xc4e85000-0xc8e84fff] (64MB) mapped at [ffff8800c4e85000-ffff8800c8e84fff]
Jul  5 23:38:16 node7 kernel: [    0.433031] audit: initializing netlink socket (disabled)
Jul  5 23:38:16 node7 kernel: [    0.433043] type=2000 audit(1373042284.320:1): initialized
Jul  5 23:38:16 node7 kernel: [    0.448083] HugeTLB registered 2 MB page size, pre-allocated 0 pages
Jul  5 23:38:16 node7 kernel: [    0.449041] VFS: Disk quotas dquot_6.5.2
Jul  5 23:38:16 node7 kernel: [    0.449066] Dquot-cache hash table entries: 512 (order 0, 4096 bytes)
Jul  5 23:38:16 node7 kernel: [    0.449321] fuse init (API version 7.19)
Jul  5 23:38:16 node7 kernel: [    0.449363] msgmni has been set to 7698
Jul  5 23:38:16 node7 kernel: [    0.449574] Block layer SCSI generic (bsg) driver version 0.4 loaded (major 252)
Jul  5 23:38:16 node7 kernel: [    0.449590] io scheduler noop registered
Jul  5 23:38:16 node7 kernel: [    0.449592] io scheduler deadline registered (default)
Jul  5 23:38:16 node7 kernel: [    0.449606] io scheduler cfq registered
Jul  5 23:38:16 node7 kernel: [    0.450030] ioapic: probe of 0000:00:05.4 failed with error -22
Jul  5 23:38:16 node7 kernel: [    0.450036] pci_hotplug: PCI Hot Plug PCI Core version: 0.5
Jul  5 23:38:16 node7 kernel: [    0.450046] pciehp: PCI Express Hot Plug Controller Driver version: 0.4
Jul  5 23:38:16 node7 kernel: [    0.450100] efifb: probing for efifb
Jul  5 23:38:16 node7 kernel: [    0.450267] efifb: framebuffer at 0xe9000000, mapped to 0xffffc90012280000, using 1920k, total 1920k
Jul  5 23:38:16 node7 kernel: [    0.450268] efifb: mode is 800x600x32, linelength=3200, pages=1
Jul  5 23:38:16 node7 kernel: [    0.450269] efifb: scrolling: redraw
Jul  5 23:38:16 node7 kernel: [    0.450270] efifb: Truecolor: size=8:8:8:8, shift=24:16:8:0
Jul  5 23:38:16 node7 kernel: [    0.450317] Console: switching to colour frame buffer device 100x37
Jul  5 23:38:16 node7 kernel: [    0.450326] fb0: EFI VGA frame buffer device
Jul  5 23:38:16 node7 kernel: [    0.450329] intel_idle: MWAIT substates: 0x21120
Jul  5 23:38:16 node7 kernel: [    0.450330] intel_idle: v0.4 model 0x2D
Jul  5 23:38:16 node7 kernel: [    0.450330] intel_idle: lapic_timer_reliable_states 0xffffffff
Jul  5 23:38:16 node7 kernel: [    0.450383] input: Power Button as /devices/LNXSYSTM:00/device:00/PNP0C0C:00/input/input0
Jul  5 23:38:16 node7 kernel: [    0.450387] ACPI: Power Button [PWRB]
Jul  5 23:38:16 node7 kernel: [    0.450410] input: Power Button as /devices/LNXSYSTM:00/LNXPWRBN:00/input/input1
Jul  5 23:38:16 node7 kernel: [    0.450411] ACPI: Power Button [PWRF]
Jul  5 23:38:16 node7 kernel: [    0.450458] ACPI: Requesting acpi_cpufreq
Jul  5 23:38:16 node7 kernel: [    0.454460] Freeing initrd memory: 15184k freed
Jul  5 23:38:16 node7 kernel: [    0.468082] GHES: HEST is not enabled!
Jul  5 23:38:16 node7 kernel: [    0.468140] Serial: 8250/16550 driver, 32 ports, IRQ sharing enabled
Jul  5 23:38:16 node7 kernel: [    0.468760] serial 0000:00:16.3: enabling device (0000 -> 0003)
Jul  5 23:38:16 node7 kernel: [    0.468789] serial8250: skipping TxEn test for device [8086:1d3d] subsystem [103c:1589]
Jul  5 23:38:16 node7 kernel: [    0.488981] 0000:00:16.3: ttyS4 at I/O 0xe060 (irq = 17) is a 16550A
Jul  5 23:38:16 node7 kernel: [    0.489123] Linux agpgart interface v0.103
Jul  5 23:38:16 node7 kernel: [    0.489842] brd: module loaded
Jul  5 23:38:16 node7 kernel: [    0.490199] loop: module loaded
Jul  5 23:38:16 node7 kernel: [    0.490259] ahci 0000:00:1f.2: version 3.0
Jul  5 23:38:16 node7 kernel: [    0.490308] ahci 0000:00:1f.2: irq 64 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.504331] ahci 0000:00:1f.2: AHCI 0001.0300 32 slots 6 ports 6 Gbps 0x5 impl RAID mode
Jul  5 23:38:16 node7 kernel: [    0.504333] ahci 0000:00:1f.2: flags: 64bit ncq sntf pm led clo pio slum part ems sxs apst 
Jul  5 23:38:16 node7 kernel: [    0.504336] ahci 0000:00:1f.2: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    0.512541] scsi0 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512580] scsi1 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512613] scsi2 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512644] scsi3 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512677] scsi4 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512708] scsi5 : ahci
Jul  5 23:38:16 node7 kernel: [    0.512776] ata1: SATA max UDMA/133 abar m2048@0xef329000 port 0xef329100 irq 64
Jul  5 23:38:16 node7 kernel: [    0.512776] ata2: DUMMY
Jul  5 23:38:16 node7 kernel: [    0.512778] ata3: SATA max UDMA/133 abar m2048@0xef329000 port 0xef329200 irq 64
Jul  5 23:38:16 node7 kernel: [    0.512779] ata4: DUMMY
Jul  5 23:38:16 node7 kernel: [    0.512779] ata5: DUMMY
Jul  5 23:38:16 node7 kernel: [    0.512780] ata6: DUMMY
Jul  5 23:38:16 node7 kernel: [    0.512847] pata_acpi 0000:00:16.2: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    0.512887] ata_generic 0000:00:16.2: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    0.513019] scsi6 : ata_generic
Jul  5 23:38:16 node7 kernel: [    0.513054] scsi7 : ata_generic
Jul  5 23:38:16 node7 kernel: [    0.513073] ata7: PATA max UDMA/100 cmd 0xe0b0 ctl 0xe0a0 bmdma 0xe070 irq 18
Jul  5 23:38:16 node7 kernel: [    0.513074] ata8: PATA max UDMA/100 cmd 0xe090 ctl 0xe080 bmdma 0xe078 irq 18
Jul  5 23:38:16 node7 kernel: [    0.513217] Fixed MDIO Bus: probed
Jul  5 23:38:16 node7 kernel: [    0.513237] tun: Universal TUN/TAP device driver, 1.6
Jul  5 23:38:16 node7 kernel: [    0.513238] tun: (C) 1999-2004 Max Krasnyansky <maxk@qualcomm.com>
Jul  5 23:38:16 node7 kernel: [    0.513260] PPP generic driver version 2.4.2
Jul  5 23:38:16 node7 kernel: [    0.513285] ehci_hcd: USB 2.0 'Enhanced' Host Controller (EHCI) Driver
Jul  5 23:38:16 node7 kernel: [    0.513307] ehci_hcd 0000:00:1a.0: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    0.513309] ehci_hcd 0000:00:1a.0: EHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.513313] ehci_hcd 0000:00:1a.0: new USB bus registered, assigned bus number 1
Jul  5 23:38:16 node7 kernel: [    0.513330] ehci_hcd 0000:00:1a.0: debug port 2
Jul  5 23:38:16 node7 kernel: [    0.517198] ehci_hcd 0000:00:1a.0: cache line size of 64 is not supported
Jul  5 23:38:16 node7 kernel: [    0.517207] ehci_hcd 0000:00:1a.0: irq 16, io mem 0xef32c000
Jul  5 23:38:16 node7 kernel: [    0.528294] ehci_hcd 0000:00:1a.0: USB 2.0 started, EHCI 1.00
Jul  5 23:38:16 node7 kernel: [    0.528323] usb usb1: New USB device found, idVendor=1d6b, idProduct=0002
Jul  5 23:38:16 node7 kernel: [    0.528324] usb usb1: New USB device strings: Mfr=3, Product=2, SerialNumber=1
Jul  5 23:38:16 node7 kernel: [    0.528326] usb usb1: Product: EHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.528327] usb usb1: Manufacturer: Linux 3.5.0-23-generic ehci_hcd
Jul  5 23:38:16 node7 kernel: [    0.528328] usb usb1: SerialNumber: 0000:00:1a.0
Jul  5 23:38:16 node7 kernel: [    0.528388] hub 1-0:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    0.528391] hub 1-0:1.0: 2 ports detected
Jul  5 23:38:16 node7 kernel: [    0.528446] ehci_hcd 0000:00:1d.0: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    0.528448] ehci_hcd 0000:00:1d.0: EHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.528451] ehci_hcd 0000:00:1d.0: new USB bus registered, assigned bus number 2
Jul  5 23:38:16 node7 kernel: [    0.528467] ehci_hcd 0000:00:1d.0: debug port 2
Jul  5 23:38:16 node7 kernel: [    0.532356] ehci_hcd 0000:00:1d.0: cache line size of 64 is not supported
Jul  5 23:38:16 node7 kernel: [    0.532366] ehci_hcd 0000:00:1d.0: irq 23, io mem 0xef32b000
Jul  5 23:38:16 node7 kernel: [    0.544287] ehci_hcd 0000:00:1d.0: USB 2.0 started, EHCI 1.00
Jul  5 23:38:16 node7 kernel: [    0.544313] usb usb2: New USB device found, idVendor=1d6b, idProduct=0002
Jul  5 23:38:16 node7 kernel: [    0.544314] usb usb2: New USB device strings: Mfr=3, Product=2, SerialNumber=1
Jul  5 23:38:16 node7 kernel: [    0.544316] usb usb2: Product: EHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.544317] usb usb2: Manufacturer: Linux 3.5.0-23-generic ehci_hcd
Jul  5 23:38:16 node7 kernel: [    0.544318] usb usb2: SerialNumber: 0000:00:1d.0
Jul  5 23:38:16 node7 kernel: [    0.544370] hub 2-0:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    0.544372] hub 2-0:1.0: 2 ports detected
Jul  5 23:38:16 node7 kernel: [    0.544411] ohci_hcd: USB 1.1 'Open' Host Controller (OHCI) Driver
Jul  5 23:38:16 node7 kernel: [    0.544421] uhci_hcd: USB Universal Host Controller Interface driver
Jul  5 23:38:16 node7 kernel: [    0.544455] xhci_hcd 0000:08:00.0: xHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.544458] xhci_hcd 0000:08:00.0: new USB bus registered, assigned bus number 3
Jul  5 23:38:16 node7 kernel: [    0.544618] xhci_hcd 0000:08:00.0: irq 19, io mem 0xef200000
Jul  5 23:38:16 node7 kernel: [    0.544680] xhci_hcd 0000:08:00.0: irq 65 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544683] xhci_hcd 0000:08:00.0: irq 66 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544686] xhci_hcd 0000:08:00.0: irq 67 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544690] xhci_hcd 0000:08:00.0: irq 68 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544693] xhci_hcd 0000:08:00.0: irq 69 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544696] xhci_hcd 0000:08:00.0: irq 70 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544700] xhci_hcd 0000:08:00.0: irq 71 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544704] xhci_hcd 0000:08:00.0: irq 72 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    0.544788] usb usb3: New USB device found, idVendor=1d6b, idProduct=0002
Jul  5 23:38:16 node7 kernel: [    0.544789] usb usb3: New USB device strings: Mfr=3, Product=2, SerialNumber=1
Jul  5 23:38:16 node7 kernel: [    0.544790] usb usb3: Product: xHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.544791] usb usb3: Manufacturer: Linux 3.5.0-23-generic xhci_hcd
Jul  5 23:38:16 node7 kernel: [    0.544792] usb usb3: SerialNumber: 0000:08:00.0
Jul  5 23:38:16 node7 kernel: [    0.544829] xHCI xhci_add_endpoint called for root hub
Jul  5 23:38:16 node7 kernel: [    0.544830] xHCI xhci_check_bandwidth called for root hub
Jul  5 23:38:16 node7 kernel: [    0.544841] hub 3-0:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    0.544848] hub 3-0:1.0: 4 ports detected
Jul  5 23:38:16 node7 kernel: [    0.544895] xhci_hcd 0000:08:00.0: xHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.544897] xhci_hcd 0000:08:00.0: new USB bus registered, assigned bus number 4
Jul  5 23:38:16 node7 kernel: [    0.544914] usb usb4: New USB device found, idVendor=1d6b, idProduct=0003
Jul  5 23:38:16 node7 kernel: [    0.544915] usb usb4: New USB device strings: Mfr=3, Product=2, SerialNumber=1
Jul  5 23:38:16 node7 kernel: [    0.544916] usb usb4: Product: xHCI Host Controller
Jul  5 23:38:16 node7 kernel: [    0.544918] usb usb4: Manufacturer: Linux 3.5.0-23-generic xhci_hcd
Jul  5 23:38:16 node7 kernel: [    0.544919] usb usb4: SerialNumber: 0000:08:00.0
Jul  5 23:38:16 node7 kernel: [    0.544950] xHCI xhci_add_endpoint called for root hub
Jul  5 23:38:16 node7 kernel: [    0.544951] xHCI xhci_check_bandwidth called for root hub
Jul  5 23:38:16 node7 kernel: [    0.544962] hub 4-0:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    0.544970] hub 4-0:1.0: 4 ports detected
Jul  5 23:38:16 node7 kernel: [    0.545052] usbcore: registered new interface driver libusual
Jul  5 23:38:16 node7 kernel: [    0.545074] i8042: PNP: PS/2 Controller [PNP0303:PS2K,PNP0f03:PS2M] at 0x60,0x64 irq 1,12
Jul  5 23:38:16 node7 kernel: [    0.547746] serio: i8042 KBD port at 0x60,0x64 irq 1
Jul  5 23:38:16 node7 kernel: [    0.547750] serio: i8042 AUX port at 0x60,0x64 irq 12
Jul  5 23:38:16 node7 kernel: [    0.547792] mousedev: PS/2 mouse device common for all mice
Jul  5 23:38:16 node7 kernel: [    0.547870] rtc_cmos 00:06: RTC can wake from S4
Jul  5 23:38:16 node7 kernel: [    0.547968] rtc_cmos 00:06: rtc core: registered rtc_cmos as rtc0
Jul  5 23:38:16 node7 kernel: [    0.547992] rtc0: alarms up to one month, y3k, 114 bytes nvram, hpet irqs
Jul  5 23:38:16 node7 kernel: [    0.548030] device-mapper: uevent: version 1.0.3
Jul  5 23:38:16 node7 kernel: [    0.548065] device-mapper: ioctl: 4.22.0-ioctl (2011-10-19) initialised: dm-devel@redhat.com
Jul  5 23:38:16 node7 kernel: [    0.548146] cpuidle: using governor ladder
Jul  5 23:38:16 node7 kernel: [    0.548253] cpuidle: using governor menu
Jul  5 23:38:16 node7 kernel: [    0.548254] EFI Variables Facility v0.08 2004-May-17
Jul  5 23:38:16 node7 kernel: [    0.554638] ashmem: initialized
Jul  5 23:38:16 node7 kernel: [    0.554709] TCP: cubic registered
Jul  5 23:38:16 node7 kernel: [    0.554757] NET: Registered protocol family 10
Jul  5 23:38:16 node7 kernel: [    0.554866] NET: Registered protocol family 17
Jul  5 23:38:16 node7 kernel: [    0.554871] Key type dns_resolver registered
Jul  5 23:38:16 node7 kernel: [    0.554952] PM: Hibernation image not present or could not be loaded.
Jul  5 23:38:16 node7 kernel: [    0.554961] registered taskstats version 1
Jul  5 23:38:16 node7 kernel: [    0.556286] Key type trusted registered
Jul  5 23:38:16 node7 kernel: [    0.557463] Key type encrypted registered
Jul  5 23:38:16 node7 kernel: [    0.559618]   Magic number: 5:658:640
Jul  5 23:38:16 node7 kernel: [    0.559722] rtc_cmos 00:06: setting system clock to 2013-07-05 16:38:05 UTC (1373042285)
Jul  5 23:38:16 node7 kernel: [    0.560538] BIOS EDD facility v0.16 2004-Jun-25, 0 devices found
Jul  5 23:38:16 node7 kernel: [    0.560539] EDD information not available.
Jul  5 23:38:16 node7 kernel: [    0.832168] ata3: SATA link up 1.5 Gbps (SStatus 113 SControl 300)
Jul  5 23:38:16 node7 kernel: [    0.832186] ata1: SATA link up 6.0 Gbps (SStatus 133 SControl 300)
Jul  5 23:38:16 node7 kernel: [    0.833174] ata1.00: ATA-8: ST500DM002-1BD142, HP73, max UDMA/100
Jul  5 23:38:16 node7 kernel: [    0.833176] ata1.00: 976773168 sectors, multi 16: LBA48 NCQ (depth 31/32)
Jul  5 23:38:16 node7 kernel: [    0.834429] ata1.00: configured for UDMA/100
Jul  5 23:38:16 node7 kernel: [    0.834510] scsi 0:0:0:0: Direct-Access     ATA      ST500DM002-1BD14 HP73 PQ: 0 ANSI: 5
Jul  5 23:38:16 node7 kernel: [    0.834533] ata3.00: ATAPI: hp      DVD A  DH16ACSHR, JHG7, max UDMA/100
Jul  5 23:38:16 node7 kernel: [    0.834635] sd 0:0:0:0: [sda] 976773168 512-byte logical blocks: (500 GB/465 GiB)
Jul  5 23:38:16 node7 kernel: [    0.834637] sd 0:0:0:0: [sda] 4096-byte physical blocks
Jul  5 23:38:16 node7 kernel: [    0.834659] sd 0:0:0:0: Attached scsi generic sg0 type 0
Jul  5 23:38:16 node7 kernel: [    0.834805] sd 0:0:0:0: [sda] Write Protect is off
Jul  5 23:38:16 node7 kernel: [    0.834808] sd 0:0:0:0: [sda] Mode Sense: 00 3a 00 00
Jul  5 23:38:16 node7 kernel: [    0.834939] sd 0:0:0:0: [sda] Write cache: enabled, read cache: enabled, doesn't support DPO or FUA
Jul  5 23:38:16 node7 kernel: [    0.835441] ata3.00: configured for UDMA/100
Jul  5 23:38:16 node7 kernel: [    0.840155] usb 1-1: new high-speed USB device number 2 using ehci_hcd
Jul  5 23:38:16 node7 kernel: [    0.872279]  sda: sda1 sda2 sda3
Jul  5 23:38:16 node7 kernel: [    0.873057] sd 0:0:0:0: [sda] Attached SCSI disk
Jul  5 23:38:16 node7 kernel: [    0.876465] scsi 2:0:0:0: CD-ROM            hp       DVD A  DH16ACSHR JHG7 PQ: 0 ANSI: 5
Jul  5 23:38:16 node7 kernel: [    0.880262] sr0: scsi3-mmc drive: 40x/40x writer dvd-ram cd/rw xa/form2 cdda tray
Jul  5 23:38:16 node7 kernel: [    0.880264] cdrom: Uniform CD-ROM driver Revision: 3.20
Jul  5 23:38:16 node7 kernel: [    0.880365] sr 2:0:0:0: Attached scsi CD-ROM sr0
Jul  5 23:38:16 node7 kernel: [    0.880451] sr 2:0:0:0: Attached scsi generic sg1 type 5
Jul  5 23:38:16 node7 kernel: [    0.972459] usb 1-1: New USB device found, idVendor=8087, idProduct=0024
Jul  5 23:38:16 node7 kernel: [    0.972461] usb 1-1: New USB device strings: Mfr=0, Product=0, SerialNumber=0
Jul  5 23:38:16 node7 kernel: [    0.972715] hub 1-1:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    0.972821] hub 1-1:1.0: 6 ports detected
Jul  5 23:38:16 node7 kernel: [    1.047778] Freeing unused kernel memory: 948k freed
Jul  5 23:38:16 node7 kernel: [    1.047871] Write protecting the kernel read-only data: 12288k
Jul  5 23:38:16 node7 kernel: [    1.050254] Freeing unused kernel memory: 1352k freed
Jul  5 23:38:16 node7 kernel: [    1.052172] Freeing unused kernel memory: 1048k freed
Jul  5 23:38:16 node7 kernel: [    1.078797] isci: Intel(R) C600 SAS Controller Driver - version 1.1.0
Jul  5 23:38:16 node7 kernel: [    1.078817] isci 0000:02:00.0: driver configured for rev: 5 silicon
Jul  5 23:38:16 node7 kernel: [    1.078897] isci 0000:02:00.0: Unable to obtain EFI var data for OEM parms
Jul  5 23:38:16 node7 kernel: [    1.078900] isci 0000:02:00.0: OEM parameter table found in OROM
Jul  5 23:38:16 node7 kernel: [    1.078903] isci 0000:02:00.0: OEM SAS parameters (version: 1.1) loaded (platform)
Jul  5 23:38:16 node7 kernel: [    1.079706] e1000e: Intel(R) PRO/1000 Network Driver - 2.0.0-k
Jul  5 23:38:16 node7 kernel: [    1.079708] e1000e: Copyright(c) 1999 - 2012 Intel Corporation.
Jul  5 23:38:16 node7 kernel: [    1.079737] e1000e 0000:00:19.0: setting latency timer to 64
Jul  5 23:38:16 node7 kernel: [    1.079794] e1000e 0000:00:19.0: Interrupt Throttling Rate (ints/sec) set to dynamic conservative mode
Jul  5 23:38:16 node7 kernel: [    1.079826] e1000e 0000:00:19.0: irq 73 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    1.080133] isci 0000:02:00.0: SCU controller 0: phy 3-0 cables: {short, short, short, short}
Jul  5 23:38:16 node7 kernel: [    1.082339] scsi8 : isci
Jul  5 23:38:16 node7 kernel: [    1.082717] isci 0000:02:00.0: irq 74 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    1.082723] isci 0000:02:00.0: irq 75 for MSI/MSI-X
Jul  5 23:38:16 node7 kernel: [    1.084019] usb 2-1: new high-speed USB device number 2 using ehci_hcd
Jul  5 23:38:16 node7 kernel: [    1.088231] firewire_ohci 0000:09:05.0: enabling device (0100 -> 0102)
Jul  5 23:38:16 node7 kernel: [    1.144021] firewire_ohci 0000:09:05.0: added OHCI v1.0 device as card 0, 8 IR + 8 IT contexts, quirks 0x0
Jul  5 23:38:16 node7 kernel: [    1.216277] usb 2-1: New USB device found, idVendor=8087, idProduct=0024
Jul  5 23:38:16 node7 kernel: [    1.216283] usb 2-1: New USB device strings: Mfr=0, Product=0, SerialNumber=0
Jul  5 23:38:16 node7 kernel: [    1.216531] hub 2-1:1.0: USB hub found
Jul  5 23:38:16 node7 kernel: [    1.216639] hub 2-1:1.0: 8 ports detected
Jul  5 23:38:16 node7 kernel: [    1.286851] e1000e 0000:00:19.0: eth0: (PCI Express:2.5GT/s:Width x1) 10:60:4b:6b:f8:48
Jul  5 23:38:16 node7 kernel: [    1.286853] e1000e 0000:00:19.0: eth0: Intel(R) PRO/1000 Network Connection
Jul  5 23:38:16 node7 kernel: [    1.286894] e1000e 0000:00:19.0: eth0: MAC: 10, PHY: 11, PBA No: 0100FF-0FF
Jul  5 23:38:16 node7 kernel: [    1.431866] Refined TSC clocksource calibration: 3591.121 MHz.
Jul  5 23:38:16 node7 kernel: [    1.431869] Switching to clocksource tsc
Jul  5 23:38:16 node7 kernel: [    1.487877] usb 2-1.1: new low-speed USB device number 3 using ehci_hcd
Jul  5 23:38:16 node7 kernel: [    1.529090] EXT4-fs (sda2): mounted filesystem with ordered data mode. Opts: (null)
Jul  5 23:38:16 node7 kernel: [    1.586258] usb 2-1.1: New USB device found, idVendor=413c, idProduct=2112
Jul  5 23:38:16 node7 kernel: [    1.586261] usb 2-1.1: New USB device strings: Mfr=1, Product=2, SerialNumber=0
Jul  5 23:38:16 node7 kernel: [    1.586262] usb 2-1.1: Product: Dell USB Wired Multimedia Keyboard
Jul  5 23:38:16 node7 kernel: [    1.586263] usb 2-1.1: Manufacturer: DELL
Jul  5 23:38:16 node7 kernel: [    1.643790] firewire_core 0000:09:05.0: created device fw0: GUID 0060b0000091f700, S400
Jul  5 23:38:16 node7 kernel: [    1.655860] usb 2-1.2: new low-speed USB device number 4 using ehci_hcd
Jul  5 23:38:16 node7 kernel: [    1.753499] usb 2-1.2: New USB device found, idVendor=046d, idProduct=c063
Jul  5 23:38:16 node7 kernel: [    1.753505] usb 2-1.2: New USB device strings: Mfr=1, Product=2, SerialNumber=0
Jul  5 23:38:16 node7 kernel: [    1.753509] usb 2-1.2: Product: DELL USB Laser Mouse
Jul  5 23:38:16 node7 kernel: [    1.753523] usb 2-1.2: Manufacturer: DELL
Jul  5 23:38:16 node7 kernel: [    3.243365] Adding 4105212k swap on /dev/sda3.  Priority:-1 extents:1 across:4105212k 
Jul  5 23:38:16 node7 kernel: [    4.108720] IPv6: ADDRCONF(NETDEV_UP): eth0: link is not ready
Jul  5 23:38:16 node7 kernel: [    4.697710] lp: driver loaded but no devices found
Jul  5 23:38:16 node7 kernel: [    5.176303] wmi: Mapper loaded
Jul  5 23:38:16 node7 kernel: [    5.213230] ACPI Warning: 0x0000000000000430-0x0000000000000433 SystemIO conflicts with Region \_SB_.PCI0.SBRG.SMIE 1 (20120320/utaddress-251)
Jul  5 23:38:16 node7 kernel: [    5.213234] ACPI: If an ACPI driver is available for this device, you should use it instead of the native driver
Jul  5 23:38:16 node7 kernel: [    5.213235] lpc_ich: Resource conflict(s) found affecting iTCO_wdt
Jul  5 23:38:16 node7 kernel: [    5.224088] microcode: CPU0 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.263114] microcode: CPU1 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.263789] microcode: CPU2 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.264415] microcode: CPU3 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.265021] microcode: CPU4 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.265624] microcode: CPU5 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.266226] microcode: CPU6 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.266839] microcode: CPU7 sig=0x206d7, pf=0x1, revision=0x70d
Jul  5 23:38:16 node7 kernel: [    5.267463] microcode: Microcode Update Driver: v2.00 <tigran@aivazian.fsnet.co.uk>, Peter Oruba
Jul  5 23:38:16 node7 kernel: [    5.292218] EDAC MC: Ver: 2.1.0
Jul  5 23:38:16 node7 kernel: [    5.302185] EDAC sbridge: Seeking for: dev 0e.0 PCI ID 8086:3ca0
Jul  5 23:38:16 node7 kernel: [    5.302193] EDAC sbridge: Seeking for: dev 0e.0 PCI ID 8086:3ca0
Jul  5 23:38:16 node7 kernel: [    5.302196] EDAC sbridge: Seeking for: dev 0f.0 PCI ID 8086:3ca8
Jul  5 23:38:16 node7 kernel: [    5.302201] EDAC sbridge: Seeking for: dev 0f.0 PCI ID 8086:3ca8
Jul  5 23:38:16 node7 kernel: [    5.302202] EDAC sbridge: Seeking for: dev 0f.1 PCI ID 8086:3c71
Jul  5 23:38:16 node7 kernel: [    5.302205] EDAC sbridge: Seeking for: dev 0f.1 PCI ID 8086:3c71
Jul  5 23:38:16 node7 kernel: [    5.302207] EDAC sbridge: Seeking for: dev 0f.2 PCI ID 8086:3caa
Jul  5 23:38:16 node7 kernel: [    5.302210] EDAC sbridge: Seeking for: dev 0f.2 PCI ID 8086:3caa
Jul  5 23:38:16 node7 kernel: [    5.302211] EDAC sbridge: Seeking for: dev 0f.3 PCI ID 8086:3cab
Jul  5 23:38:16 node7 kernel: [    5.302214] EDAC sbridge: Seeking for: dev 0f.3 PCI ID 8086:3cab
Jul  5 23:38:16 node7 kernel: [    5.302215] EDAC sbridge: Seeking for: dev 0f.4 PCI ID 8086:3cac
Jul  5 23:38:16 node7 kernel: [    5.302218] EDAC sbridge: Seeking for: dev 0f.4 PCI ID 8086:3cac
Jul  5 23:38:16 node7 kernel: [    5.302220] EDAC sbridge: Seeking for: dev 0f.5 PCI ID 8086:3cad
Jul  5 23:38:16 node7 kernel: [    5.302223] EDAC sbridge: Seeking for: dev 0f.5 PCI ID 8086:3cad
Jul  5 23:38:16 node7 kernel: [    5.302224] EDAC sbridge: Seeking for: dev 11.0 PCI ID 8086:3cb8
Jul  5 23:38:16 node7 kernel: [    5.302227] EDAC sbridge: Seeking for: dev 11.0 PCI ID 8086:3cb8
